bezirk_key,bezirk_name,prognose_key,prognose_name,bezirksregion_key,bezirksregion_name,kiez_key,kiez_name
01,Mitte,0101,Zentrum,010111,Tiergarten Süd,01011101,Stülerstraße
01,Mitte,0101,Zentrum,010111,Tiergarten Süd,01011102,Großer Tiergarten
01,Mitte,0101,Zentrum,010111,Tiergarten Süd,01011103,Lützowstraße
01,Mitte,0101,Zentrum,010111,Tiergarten Süd,01011104,Körnerstraße
01,Mitte,0101,Zentrum,010111,Tiergarten Süd,01011105,Nördlicher Landwehrkanal
01,Mitte,0101,Zentrum,010112,Regierungsviertel,01011201,Wilhelmstraße
01,Mitte,0101,Zentrum,010112,Regierungsviertel,01011202,Unter den Linden Nord
01,Mitte,0101,Zentrum,010112,Regierungsviertel,01011203,Unter den Linden Süd
01,Mitte,0101,Zentrum,010112,Regierungsviertel,01011204,Leipziger Straße
01,Mitte,0101,Zentrum,010113,Alexanderplatz,01011301,Charitéviertel
01,Mitte,0101,Zentrum,010113,Alexanderplatz,01011302,Oranienburger Straße
01,Mitte,0101,Zentrum,010113,Alexanderplatz,01011303,Alexanderplatzviertel
01,Mitte,0101,Zentrum,010113,Alexanderplatz,01011304,Karl-Marx-Allee
01,Mitte,0101,Zentrum,010113,Alexanderplatz,01011305,Heine-Viertel West
01,Mitte,0101,Zentrum,010113,Alexanderplatz,01011306,Heine-Viertel Ost
01,Mitte,0101,Zentrum,010114,Brunnenstraße Süd,01011401,Invalidenstraße
01,Mitte,0101,Zentrum,010114,Brunnenstraße Süd,01011402,Arkonaplatz
01,Mitte,0102,Moabit,010221,Moabit West,01022101,Huttenkiez
01,Mitte,0102,Moabit,010221,Moabit West,01022102,Beusselkiez
01,Mitte,0102,Moabit,010221,Moabit West,01022103,Westhafen
01,Mitte,0102,Moabit,010221,Moabit West,01022104,Emdener Straße
01,Mitte,0102,Moabit,010221,Moabit West,01022105,Zwinglistraße
01,Mitte,0102,Moabit,010221,Moabit West,01022106,Elberfelder Straße
01,Mitte,0102,Moabit,010222,Moabit Ost,01022201,Stephankiez
01,Mitte,0102,Moabit,010222,Moabit Ost,01022202,Heidestraße
01,Mitte,0102,Moabit,010222,Moabit Ost,01022203,Lübecker Straße
01,Mitte,0102,Moabit,010222,Moabit Ost,01022204,Thomasiusstraße
01,Mitte,0102,Moabit,010222,Moabit Ost,01022205,Zillesiedlung
01,Mitte,0102,Moabit,010222,Moabit Ost,01022206,Lüneburger Straße
01,Mitte,0102,Moabit,010222,Moabit Ost,01022207,Hansaviertel
01,Mitte,0103,Gesundbrunnen,010331,Osloer Straße,01033101,Soldiner Straße
01,Mitte,0103,Gesundbrunnen,010331,Osloer Straße,01033102,Gesundbrunnen
01,Mitte,0103,Gesundbrunnen,010332,Brunnenstraße Nord,01033201,Brunnenstraße
01,Mitte,0103,Gesundbrunnen,010332,Brunnenstraße Nord,01033202,Humboldthain Süd
01,Mitte,0103,Gesundbrunnen,010332,Brunnenstraße Nord,01033203,Humboldthain Nordwest
01,Mitte,0104,Wedding,010441,Parkviertel,01044101,Rehberge
01,Mitte,0104,Wedding,010441,Parkviertel,01044102,Schillerpark
01,Mitte,0104,Wedding,010441,Parkviertel,01044103,Westliche Müllerstraße
01,Mitte,0104,Wedding,010442,Wedding Zentrum,01044201,Reinickendorfer Straße
01,Mitte,0104,Wedding,010442,Wedding Zentrum,01044202,Sparrplatz
01,Mitte,0104,Wedding,010442,Wedding Zentrum,01044203,Leopoldplatz
02,Friedrichshain-Kreuzberg,0201,Kreuzberg Nord,020101,Südliche Friedrichstadt,02010101,Askanischer Platz
02,Friedrichshain-Kreuzberg,0201,Kreuzberg Nord,020101,Südliche Friedrichstadt,02010102,Mehringplatz
02,Friedrichshain-Kreuzberg,0201,Kreuzberg Nord,020101,Südliche Friedrichstadt,02010103,Moritzplatz
02,Friedrichshain-Kreuzberg,0201,Kreuzberg Nord,020101,Südliche Friedrichstadt,02010104,Wassertorplatz
02,Friedrichshain-Kreuzberg,0202,Kreuzberg Süd,020202,Tempelhofer Vorstadt,02020201,Gleisdreieck/Entwicklungsgebiet
