bezirk_key;bezirk_name;prognose_key;prognose_name;bezirksregion_key;bezirksregion_name;kiez_key;kiez_name
1;Mitte;101;Zentrum;10111;Tiergarten Süd;1011101;Stülerstraße
1;Mitte;101;Zentrum;10111;Tiergarten Süd;1011102;Großer Tiergarten
1;Mitte;101;Zentrum;10111;Tiergarten Süd;1011103;Lützowstraße
1;Mitte;101;Zentrum;10111;Tiergarten Süd;1011104;Körnerstraße
1;Mitte;101;Zentrum;10111;Tiergarten Süd;1011105;Nördlicher Landwehrkanal
1;Mitte;101;Zentrum;10112;Regierungsviertel;1011201;Wilhelmstraße
1;Mitte;101;Zentrum;10112;Regierungsviertel;1011202;Unter den Linden Nord
1;Mitte;101;Zentrum;10112;Regierungsviertel;1011203;Unter den Linden Süd
1;Mitte;101;Zentrum;10112;Regierungsviertel;1011204;Leipziger Straße
1;Mitte;101;Zentrum;10113;Alexanderplatz;1011301;Charitéviertel
1;Mitte;101;Zentrum;10113;Alexanderplatz;1011302;Oranienburger Straße
1;Mitte;101;Zentrum;10113;Alexanderplatz;1011303;Alexanderplatzviertel
1;Mitte;101;Zentrum;10113;Alexanderplatz;1011304;Karl-Marx-Allee
1;Mitte;101;Zentrum;10113;Alexanderplatz;1011305;Heine-Viertel West
1;Mitte;101;Zentrum;10113;Alexanderplatz;1011306;Heine-Viertel Ost
1;Mitte;101;Zentrum;10114;Brunnenstraße Süd;1011401;Invalidenstraße
1;Mitte;101;Zentrum;10114;Brunnenstraße Süd;1011402;Arkonaplatz
1;Mitte;102;Moabit;10221;Moabit West;1022101;Huttenkiez
1;Mitte;102;Moabit;10221;Moabit West;1022102;Beusselkiez
1;Mitte;102;Moabit;10221;Moabit West;1022103;Westhafen
1;Mitte;102;Moabit;10221;Moabit West;1022104;Emdener Straße
1;Mitte;102;Moabit;10221;Moabit West;1022105;Zwinglistraße
1;Mitte;102;Moabit;10221;Moabit West;1022106;Elberfelder Straße
1;Mitte;102;Moabit;10222;Moabit Ost;1022201;Stephankiez
1;Mitte;102;Moabit;10222;Moabit Ost;1022202;Heidestraße
1;Mitte;102;Moabit;10222;Moabit Ost;1022203;Lübecker Straße
1;Mitte;102;Moabit;10222;Moabit Ost;1022204;Thomasiusstraße
1;Mitte;102;Moabit;10222;Moabit Ost;1022205;Zillesiedlung
1;Mitte;102;Moabit;10222;Moabit Ost;1022206;Lüneburger Straße
1;Mitte;102;Moabit;10222;Moabit Ost;1022207;Hansaviertel
1;Mitte;103;Gesundbrunnen;10331;Osloer Straße;1033101;Soldiner Straße
1;Mitte;103;Gesundbrunnen;10331;Osloer Straße;1033102;Gesundbrunnen
1;Mitte;103;Gesundbrunnen;10332;Brunnenstraße Nord;1033201;Brunnenstraße
1;Mitte;103;Gesundbrunnen;10332;Brunnenstraße Nord;1033202;Humboldthain Süd
1;Mitte;103;Gesundbrunnen;10332;Brunnenstraße Nord;1033203;Humboldthain Nordwest
1;Mitte;104;Wedding;10441;Parkviertel;1044101;Rehberge
1;Mitte;104;Wedding;10441;Parkviertel;1044102;Schillerpark
1;Mitte;104;Wedding;10441;Parkviertel;1044103;Westliche Müllerstraße
1;Mitte;104;Wedding;10442;Wedding Zentrum;1044201;Reinickendorfer Straße
